stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
737e7ee7-ba80-427b-92c7-450769495ca0,1131,Bioinfomatics Bldg,747,37.22116,-80.42709,0
a065cb09-3043-41c6-b6f0-4b00f6922c1b,1627,Main/Lee Nbnd,158,37.22878,-80.41336,0
6b7fe57f-c1d7-4407-b3ef-70fa78632059,1122,Food Science Bldg,726,37.22043,-80.42574,0
3b34f9bd-4dc2-47ef-9142-2f83aac0ac90,1130,Oak Lane Nbnd,745,37.22514,-80.4362,0
f0e36425-05bf-4eef-bc48-77196097e2c1,1132,Life Sciences 1 Bldg,748,37.22048,-80.42543,0
f0aa8b8e-f1d1-4d4a-a79f-a7c33dd3daf3,1121,I Lot/Cage Sbnd,725,37.22068,-80.42673,0
ce6fa6c0-8907-494e-becf-8952db9fb043,1119,Oak Lane South,723,37.22487,-80.43636,0
f4b1c05d-2090-443e-853f-67c8e700e2ec,1604,Main/Edgewood Sbnd,132,37.22288,-80.40694,0
42c978d1-6324-4246-9d53-4dd1397a01f7,1605,Main/Airport Sbnd,133,37.22218,-80.40617,0
db8dbc44-8a26-4580-87e1-d0191b07e7d6,1603,Main/Eakin Sbnd,131,37.22478,-80.40902,0
de1dcd82-3588-4da2-813e-7c018eb0c2e4,1635,Main/Hemlock Sbnd,166,37.22377,-80.40791,0
5f661210-4585-45e3-b5e3-319ec1863d69,1608,Main/Landsdowne Sbnd,137,37.2125,-80.39999,0
0ab8c3fc-1af1-4459-95ef-61edbb6d3bd8,1642,Main/S Hill Sbnd,811,37.20723,-80.399,0
c39da196-c111-4ce9-9403-cb6759b7c75e,1606,Main/Faystone Sbnd,134,37.21957,-80.40324,0
8bf3ccb4-ee75-482a-aaf5-f72465aae608,1607,Gables Shopping Center,135,37.2156,-80.40087,0
c3becf1b-c7e0-468b-a8f8-c83029b2f1bc,1601,Blacksburg Municipal Building,129,37.22761,-80.4121,0
7377e1d6-257e-44fa-9f46-b5512e6c5da8,1602,Main/Eheart Sbnd,130,37.22565,-80.40997,0
94180d9f-ec14-47bd-baeb-8d889bfda484,1600,Main/Roanoke Sbnd,127,37.2297,-80.41432,0
7dc9ed8a-4dc6-43f2-8571-fc36d1c4f0ec,1643,Main/Dowdy Sbnd,812,37.20275,-80.39939,0
0cb66970-0a9c-45a0-bb3a-871b001572e7,1613,Grissom/Nellies Cave Nbnd,143,37.21271,-80.39359,0
